What is 'constant folding' as a compiler optimization?,The process of evaluating expressions with constant values at compile time instead of at runtime.
What does a 'forward declaration' achieve in C?,It allows a function or type to be used before its full definition appears in the source code.
What is the difference between passing a struct by value versus by reference (pointer) to a C function?,"Passing by value copies the entire struct, while passing by reference only copies the pointer (address), which is much more efficient for large structs."
"What C keyword is used to create a type alias, such as making `Point` an alias for `struct Point`?",`typedef`
What is the purpose of the `NULL` pointer in C?,It's a special value indicating that a pointer does not point to any valid memory location.
"In C, the expression `arr[i]` is syntactic sugar for what pointer arithmetic expression?",`*(arr + i)`
What is the main advantage of the custom `String` struct (with a length field) over standard C null-terminated strings?,"It provides O(1) length lookup, whereas C strings require an O(n) scan to find the length."
"In x86-64 assembly, what is the effect of writing to a 32-bit register like `eax` on its 64-bit counterpart `rax`?",It zeros the upper 32 bits of the 64-bit register `rax`.
"A program's entry point for the linker is the `_start` label, which typically calls `main` and then uses syscall number _____ to exit.",60
"Which graph data structure, adjacency matrix or list, is better for representing a sparse graph (where e << n²)?","Adjacency list, due to its O(n + e) space complexity."
Stack Machine Instruction: What does `LOAD 1` do?,It finds the variable stored in slot 1 and pushes its value onto the evaluation stack.
Stack Machine Instruction: What does `STORE 0` do?,It pops the top value from the evaluation stack and stores it in the variable located at slot 0.
"In the System V calling convention, if a function needs to use registers `rbx` or `r12`, what is its responsibility?",It must save their original values before using them and restore them before returning (they are callee-saved).
What is the difference in parsing `a` versus `a()`?,"`a` is parsed as an identifier (variable access), while `a()` is parsed as a function call due to the lookahead for an opening parenthesis."
Stack Machine Instruction: What is the purpose of `JUMP_IF_ZERO L1`?,"It pops a value from the stack, and if that value is zero, it jumps to the program label `L1`."
"In Jive, array types are denoted with what syntax?","By enclosing the element type in square brackets, such as `[int]` for an array of integers."
What is 'dead code elimination'?,"A compiler optimization that removes code that can never be executed, such as statements inside `if (false)`."
"The `printf` format specifier for a C string (`char*`) is `%s`, and for a pointer address is _____.",`%p`
What does the `realloc` function in C do?,"It changes the size of a previously allocated memory block, potentially moving it to a new location."
Term: Recursive Descent Parsing,"A top-down parsing technique where a set of mutually recursive procedures is used to process the input, with one procedure for each nonterminal in the grammar."
"In an AST for the expression `a - b - c`, which subtraction operator would be the root of the tree to enforce left-associativity?","The second subtraction operator, with the AST for `a - b` as its left child."
"What is the output of the `test rax, rax` instruction used for?","To set the CPU's zero flag (ZF) if `rax` is zero, without modifying `rax` itself."
What are the two fundamental operations associated with C pointers?,"The address-of operator `&` to get a variable's address, and the dereference operator `*` to access the value at an address."
